title,slug,kind,countries,chart_places,weeks,peak_rank,first_week,last_week,has_page
SKY Castle,sky-castle,TV,1,1,1,10,2022-02-13,2022-02-13,no
Slave,slave,Films,1,1,1,10,2025-03-09,2025-03-09,no
Sleep,sleep,Films,2,5,5,2,2023-12-17,2024-05-26,no
Sleepless,sleepless,Films,19,32,8,2,2021-12-19,2024-06-30,yes
Smugglers,smugglers,Films,1,3,3,1,2024-04-28,2024-05-12,yes
Snatch Up,snatch-up,Films,1,2,2,6,2022-02-20,2022-02-27,no
Snowpiercer,snowpiercer,TV,24,60,12,3,2021-12-05,2022-04-10,yes
Soil,soil,TV,2,7,7,2,2022-03-27,2022-05-22,yes
Solace,solace,Films,3,6,5,3,2022-06-12,2024-04-28,yes
Sold Out on You,sold-out-on-you,TV,46,232,8,1,2026-04-26,2026-06-14,yes
Solo Leveling,solo-leveling,TV,11,255,29,1,2024-01-14,2025-04-13,yes
Somebody,somebody,TV,11,24,4,3,2022-11-20,2022-12-11,yes
Someone Like You,someone-like-you,Films,3,4,3,4,2026-04-12,2026-08-09,no
Someone You Loved,someone-you-loved,Films,1,2,2,2,2023-05-21,2023-05-28,no
Song of the Bandits,song-of-the-bandits,TV,26,34,5,1,2023-09-24,2023-10-22,yes
sorry? not sorry!,sorry-not-sorry,TV,1,2,2,6,2024-12-08,2024-12-15,no
Soulmate,soulmate,Films,3,4,2,4,2022-04-03,2022-04-10,yes
Space Sweepers,space-sweepers,Films,1,1,1,9,2021-10-03,2021-10-03,yes
Special Delivery,special-delivery,Films,1,2,2,7,2026-02-15,2026-02-22,no
Spiritwalker,spiritwalker,Films,1,3,3,1,2022-05-29,2022-06-12,yes
Split,split,Films,3,4,4,4,2021-07-11,2024-04-07,no
Spooky in Love,spooky-in-love,TV,48,191,5,1,2026-07-19,2026-08-16,yes
Spotlight,spotlight,Films,5,5,3,6,2021-08-15,2023-05-07,yes
Spring Garden,spring-garden,Films,1,1,1,5,2025-03-02,2025-03-02,no
Spring of Youth,spring-of-youth,TV,1,1,1,9,2025-05-11,2025-05-11,yes
Spy,spy,Films,30,61,5,2,2024-12-08,2025-01-05,yes
Squid Game,squid-game,TV,93,3228,60,1,2021-09-19,2025-09-07,yes
Stand By Me,stand-by-me,Films,1,1,1,10,2022-05-01,2022-05-01,no
Start-Up,start-up,TV,2,4,4,5,2021-10-10,2026-03-01,yes
Steel Rain2: Summit,steel-rain2-summit,Films,1,3,3,1,2022-10-16,2022-10-30,no
Stellar,stellar,Films,1,2,2,3,2025-04-20,2025-04-27,no
Stepmom,stepmom,Films,21,33,7,4,2021-07-04,2024-10-13,yes
Stepmother,stepmother,TV,1,9,9,4,2025-01-26,2025-03-23,no
Still Shining,still-shining,TV,8,12,5,5,2026-03-08,2026-04-05,yes
Stone Skipping,stone-skipping,Films,1,2,2,4,2021-07-18,2021-07-25,no
Stranger,stranger,TV,1,1,1,9,2021-08-08,2021-08-08,yes
Streaming,streaming,Films,1,5,5,2,2025-06-29,2025-07-27,no
Strong Girl Bong-soon,strong-girl-bong-soon,TV,3,8,5,3,2023-02-05,2023-10-29,no
Strong Girl Nam-soon,strong-girl-nam-soon,TV,45,244,9,1,2023-10-08,2023-12-03,yes
Strongest Deliveryman,strongest-deliveryman,TV,1,1,1,9,2022-12-04,2022-12-04,no
Success,success,TV,1,1,1,8,2025-04-06,2025-04-06,no
Summer Strike,summer-strike,TV,7,12,2,7,2023-02-26,2023-03-05,yes
Summertime,summertime,TV,3,5,3,1,2022-05-08,2022-05-22,yes
Sunflower,sunflower,Films,1,1,1,7,2021-11-21,2021-11-21,yes
Sunim & Sonim: Soul Trip in India,sunim-sonim-soul-trip-in-india,TV,1,3,3,4,2026-05-24,2026-06-07,no
Sunset,sunset,TV,1,3,3,1,2025-06-08,2025-06-29,no
Sunshine,sunshine,Films,2,7,6,1,2025-11-30,2026-01-11,no
Suspect,suspect,TV,2,4,3,4,2024-08-04,2024-08-18,no
Svaha: The Sixth Finger,svaha-the-sixth-finger,Films,1,4,4,6,2024-03-03,2024-03-24,yes
Swallow,swallow,Films,1,5,5,1,2021-10-03,2021-10-31,no
Sweet & Sour,sweet-sour,Films,1,4,4,7,2021-07-04,2021-10-03,no
Sweet Home,sweet-home,TV,42,247,12,1,2023-11-12,2024-08-25,yes
Sweetheart,sweetheart,Films,2,4,4,1,2024-08-11,2026-06-28,no
Sweethearts,sweethearts,Films,2,10,8,2,2022-02-06,2022-03-27,no
Swindlers,swindlers,TV,1,1,1,7,2026-04-12,2026-04-12,no
Switch,switch,Films,3,11,11,2,2021-07-04,2023-09-24,yes
Take 1,take-1,TV,1,1,1,9,2022-10-23,2022-10-23,no
Take My Hand,take-my-hand,Films,2,4,2,5,2025-01-05,2025-01-12,no
Take Point,take-point,Films,1,2,2,4,2022-11-20,2022-11-27,no
Tale of the Nine Tailed,tale-of-the-nine-tailed,TV,6,17,8,4,2022-12-11,2023-10-08,yes
Tarot,tarot,Films,54,93,34,1,2024-08-04,2026-07-26,yes
Tastefully Yours,tastefully-yours,TV,54,247,8,1,2025-05-18,2025-07-06,yes
Taxi Driver,taxi-driver,TV,22,141,46,1,2022-01-02,2026-01-18,yes
Tazza: One Eyed Jack,tazza-one-eyed-jack,Films,1,1,1,7,2022-10-09,2022-10-09,no
Tazza: The Hidden Card,tazza-the-hidden-card,Films,2,4,4,5,2022-09-25,2023-07-16,no
Tazza: The High Rollers,tazza-the-high-rollers,Films,1,2,2,9,2023-05-07,2023-05-14,yes
Temptation,temptation,TV,1,2,2,3,2025-05-25,2025-06-01,no
That Night,that-night,TV,50,115,5,1,2026-03-15,2026-04-12,yes
The 8 Show,the-8-show,TV,68,144,10,1,2024-05-19,2025-01-12,yes
The 8th Night,the-8th-night,Films,10,24,5,1,2021-07-04,2021-08-01,yes
The Accidental Detective 2: In Action,the-accidental-detective-2-in-action,Films,1,1,1,7,2021-12-12,2021-12-12,no
The Aftermath of Murder,the-aftermath-of-murder,Films,1,1,1,9,2022-07-24,2022-07-24,no
The Apartment Job,the-apartment-job,TV,19,63,6,3,2026-07-12,2026-08-16,yes
The Art of Sarah,the-art-of-sarah,TV,65,200,8,1,2026-02-15,2026-04-05,yes
The Assassin,the-assassin,Films,1,2,2,3,2023-07-23,2023-07-30,yes
The Atypical Family,the-atypical-family,TV,39,200,11,1,2024-05-05,2024-07-14,yes
The Auditors,the-auditors,TV,5,7,5,4,2024-12-15,2026-08-16,yes
The Bad Guys: Reign of Chaos,the-bad-guys-reign-of-chaos,Films,2,5,5,3,2022-10-23,2023-01-08,no
The Battle of Jangsari,the-battle-of-jangsari,Films,2,4,4,5,2022-03-13,2025-02-02,no
The Battle: Roar to Victory,the-battle-roar-to-victory,Films,1,4,4,5,2021-08-22,2023-09-17,yes
The Battleship Island,the-battleship-island,Films,3,6,4,5,2023-01-08,2026-04-05,no
The Beast,the-beast,Films,3,5,5,1,2024-01-07,2026-05-17,no
The Bequeathed,the-bequeathed,TV,29,51,5,1,2024-01-21,2024-02-18,yes
The Berlin File,the-berlin-file,Films,2,2,2,8,2021-09-12,2026-04-05,yes
The Book of Fish,the-book-of-fish,Films,1,2,2,4,2022-05-29,2022-06-05,yes
The Boy Next Door,the-boy-next-door,Films,7,8,3,6,2022-01-09,2024-07-28,yes
The Boys,the-boys,Films,1,5,5,3,2024-10-20,2024-11-17,yes
The Cave,the-cave,Films,4,5,4,8,2022-06-12,2026-07-12,no
The Childe,the-childe,Films,2,8,8,1,2023-12-17,2026-04-12,yes
The Closet,the-closet,Films,1,1,1,2,2025-03-16,2025-03-16,yes
The Concubine,the-concubine,Films,1,1,1,7,2023-09-24,2023-09-24,no
The Crowned Clown,the-crowned-clown,TV,12,27,6,1,2021-08-15,2022-01-09,yes
The Culprit,the-culprit,Films,1,3,3,1,2025-04-27,2025-05-11,no
The Cursed,the-cursed,Films,38,53,18,3,2022-03-20,2026-01-11,yes
The Day I Died: Unclosed Case,the-day-i-died-unclosed-case,Films,1,4,4,3,2024-05-05,2024-07-07,no
The Deal,the-deal,Films,1,2,2,6,2022-12-11,2022-12-18,no
The Desperate Chase,the-desperate-chase,Films,1,2,2,4,2026-03-08,2026-03-15,yes
The Devil Judge,the-devil-judge,TV,5,12,3,4,2022-01-02,2022-01-16,yes
The Devil's Deal,the-devil-s-deal,Films,1,2,2,2,2024-05-05,2024-05-12,yes
The Devil's Plan,the-devil-s-plan,TV,23,60,9,1,2023-10-01,2025-06-01,yes
The Divine Fury,the-divine-fury,Films,4,9,9,2,2022-01-23,2023-10-15,yes
The Divine Move 2: The Wrathful,the-divine-move-2-the-wrathful,Films,1,1,1,8,2021-12-12,2021-12-12,yes
The Dream Life of Mr. Kim,the-dream-life-of-mr-kim,TV,1,8,8,1,2025-10-26,2025-12-14,yes
The Drug King,the-drug-king,Films,1,2,2,8,2022-09-25,2022-10-02,yes
The Echoes of Survivors: Inside Korea’s Tragedies,the-echoes-of-survivors-inside-korea-s-tragedies,TV,3,7,3,2,2025-08-17,2025-08-31,no
The Fabulous,the-fabulous,TV,4,5,2,9,2023-01-01,2023-01-08,yes
The Face Reader,the-face-reader,Films,1,2,2,7,2026-03-01,2026-03-08,yes
The Favor,the-favor,Films,1,2,2,5,2026-07-05,2026-07-12,no
The Fiery Priest,the-fiery-priest,TV,2,2,2,6,2021-08-22,2025-02-16,no
The Five,the-five,Films,1,2,2,4,2024-06-02,2024-06-09,yes
The Fortress,the-fortress,Films,3,3,1,3,2024-05-05,2024-05-05,yes
The Frog,the-frog,TV,39,83,6,1,2024-08-25,2024-09-29,yes
The Game,the-game,Films,12,16,7,1,2022-05-22,2024-07-28,yes
"The Gangster, The Cop, The Devil",the-gangster-the-cop-the-devil,Films,3,7,7,3,2021-11-14,2022-05-29,no
The Gentlemen's League,the-gentlemen-s-league,TV,1,4,4,8,2021-09-19,2023-10-15,no
The Girl on a Bulldozer,the-girl-on-a-bulldozer,Films,1,3,3,1,2022-06-19,2022-07-03,no
The Glory,the-glory,TV,91,601,29,1,2023-01-01,2025-06-29,yes
The Goblin,the-goblin,Films,1,3,3,4,2023-10-22,2023-11-05,no
The Good Bad Mother,the-good-bad-mother,TV,34,191,11,1,2023-04-30,2023-07-09,yes
The Gossip,the-gossip,Films,1,2,2,8,2024-10-27,2024-11-03,no
The Great Flood,the-great-flood,Films,93,351,11,1,2025-12-21,2026-03-15,yes
The Great Seduction,the-great-seduction,Films,21,39,3,1,2023-09-03,2023-09-17,yes
The Guard Post,the-guard-post,Films,1,2,2,4,2021-09-05,2021-09-12,no
The Guest,the-guest,TV,43,137,9,1,2024-03-17,2025-11-09,yes
The Handmaiden,the-handmaiden,Films,1,2,2,6,2022-02-13,2022-02-20,yes
The Haunted Palace,the-haunted-palace,TV,8,65,11,1,2025-04-20,2026-07-05,yes
The House,the-house,Films,6,7,5,1,2021-08-22,2025-01-19,yes
The Housemaid,the-housemaid,Films,1,1,1,10,2024-09-08,2024-09-08,yes
The Hovering Blade,the-hovering-blade,TV,1,1,1,4,2023-10-22,2023-10-22,no
The Influencer,the-influencer,TV,21,56,10,1,2023-12-17,2024-09-01,yes
The Informant,the-informant,TV,1,3,3,5,2025-05-18,2025-06-01,no
The Interest of Love,the-interest-of-love,TV,12,51,9,1,2023-01-08,2023-03-19,yes
The Invasion,the-invasion,Films,3,3,2,10,2021-09-05,2026-07-05,no
The Journey,the-journey,TV,2,2,1,7,2023-04-30,2023-04-30,no
The K2,the-k2,TV,1,2,2,8,2022-04-17,2022-04-24,no
The Killer: A Girl Who Deserves to Die,the-killer-a-girl-who-deserves-to-die,Films,1,4,4,2,2023-05-28,2023-06-18,yes
The Killers,the-killers,Films,1,3,3,3,2025-11-02,2025-11-16,yes
The Killing Vote,the-killing-vote,TV,1,11,11,2,2023-08-20,2023-10-29,yes
The King,the-king,Films,2,5,5,5,2023-08-27,2023-10-08,no
The King's Affection,the-king-s-affection,TV,34,232,19,1,2021-10-17,2022-07-24,yes
The Land,the-land,Films,1,1,1,3,2021-12-05,2021-12-05,no
The Land of Morning Calm,the-land-of-morning-calm,Films,1,2,2,3,2026-01-04,2026-01-11,no
The Layover,the-layover,Films,1,1,1,9,2023-07-09,2023-07-09,no
The Legend of the Blue Sea,the-legend-of-the-blue-sea,TV,2,3,3,7,2021-11-14,2022-06-19,yes
The Lord Musang King,the-lord-musang-king,Films,1,1,1,5,2024-03-31,2024-03-31,no
The Man Standing Next,the-man-standing-next,Films,1,3,3,6,2023-12-03,2023-12-17,yes
The Match,the-match,Films,8,25,10,1,2025-05-11,2025-07-27,yes
The Matchmakers,the-matchmakers,TV,1,3,3,5,2023-11-05,2023-11-19,yes
The Mayor,the-mayor,Films,1,2,2,7,2022-06-19,2022-06-26,no
The Medium,the-medium,Films,3,9,9,1,2021-11-21,2022-02-27,no
The Merciless,the-merciless,Films,1,1,1,10,2021-10-03,2021-10-03,no
The Moon,the-moon,Films,3,6,5,5,2024-08-11,2026-06-07,yes
The Negotiation,the-negotiation,Films,2,3,3,5,2021-12-12,2022-03-13,yes
The Net,the-net,Films,11,18,11,2,2021-08-15,2026-07-12,yes
The Night Owl,the-night-owl,Films,2,4,4,5,2023-05-07,2026-04-05,no
The Noisy Mansion,the-noisy-mansion,Films,1,2,2,7,2026-07-12,2026-07-19,yes
The One and Only,the-one-and-only,TV,1,2,2,5,2022-02-13,2022-02-20,no
The Other Child,the-other-child,Films,1,2,2,3,2023-03-26,2023-04-02,no
The Outlaws,the-outlaws,Films,3,4,4,5,2021-11-14,2022-01-16,yes
The Pact,the-pact,Films,1,2,2,1,2026-03-22,2026-03-29,no
The Penthouse: War in Life,the-penthouse-war-in-life,TV,12,63,22,4,2022-01-09,2024-03-10,yes
The People Upstairs,the-people-upstairs,Films,1,5,5,1,2026-03-29,2026-04-26,yes
The Pirates,the-pirates,Films,1,3,3,3,2022-01-23,2022-02-06,yes
The Pirates: The Last Royal Treasure,the-pirates-the-last-royal-treasure,Films,67,158,7,1,2022-03-06,2022-04-17,yes
The Plan,the-plan,TV,1,3,3,2,2023-02-05,2023-02-19,no
The Point Men,the-point-men,Films,3,10,8,1,2023-05-07,2026-05-31,yes
The Policeman's Lineage,the-policeman-s-lineage,Films,2,7,7,5,2023-01-01,2023-05-14,yes
The Potato Lab,the-potato-lab,TV,20,77,7,4,2025-03-02,2025-04-13,yes
The Precious memory of Gogo Brothers,the-precious-memory-of-gogo-brothers,Films,1,2,2,5,2022-01-02,2022-01-09,no
The Price of Confession,the-price-of-confession,TV,39,84,5,1,2025-12-07,2026-01-04,yes
The Prison,the-prison,Films,2,6,6,3,2022-05-15,2023-05-21,no
The Promise,the-promise,Films,2,37,37,2,2021-09-12,2023-11-19,yes
The Queen of Crime,the-queen-of-crime,Films,1,2,2,6,2026-03-29,2026-04-05,no
The Queen's Classroom,the-queen-s-classroom,TV,2,2,2,5,2021-10-31,2026-07-05,no
The Raincoat Killer: Chasing a Predator in Korea,the-raincoat-killer-chasing-a-predator-in-korea,TV,1,2,2,7,2021-10-24,2021-10-31,no
The Real Has Come!,the-real-has-come,TV,2,5,4,5,2023-06-18,2023-07-09,yes
The Red Sleeve,the-red-sleeve,TV,2,2,1,9,2025-01-12,2025-01-12,yes
The Rewrite,the-rewrite,Films,1,2,2,5,2024-03-24,2024-03-31,no
The Roundup,the-roundup,Films,2,5,5,3,2022-12-25,2023-09-17,yes
The Roundup: No Way Out,the-roundup-no-way-out,Films,1,2,2,2,2023-10-01,2023-10-08,yes
The Roundup: Punishment,the-roundup-punishment,Films,1,2,2,1,2025-12-07,2025-12-14,yes
The Secret Life of My Secretary,the-secret-life-of-my-secretary,TV,1,2,2,7,2021-12-05,2021-12-12,yes
The Shadow,the-shadow,TV,2,4,2,3,2025-05-04,2025-05-11,no
The Silent Sea,the-silent-sea,TV,76,124,5,1,2021-12-26,2022-01-23,yes
The Sin,the-sin,Films,1,3,3,3,2024-06-23,2024-07-07,no
The Sound of Magic,the-sound-of-magic,TV,36,74,3,1,2022-05-08,2022-05-22,yes
The Spy Gone North,the-spy-gone-north,Films,1,1,1,9,2022-02-06,2022-02-06,yes
The Stone,the-stone,Films,8,16,5,1,2025-08-03,2025-08-31,yes
The Suspect,the-suspect,Films,1,1,1,6,2024-12-01,2024-12-01,no
The Swindlers,the-swindlers,Films,5,7,3,6,2022-12-25,2023-04-30,yes
The Sword with No Name,the-sword-with-no-name,Films,1,1,1,6,2024-09-08,2024-09-08,no
The Tale of Lady Ok,the-tale-of-lady-ok,TV,12,48,11,1,2024-12-01,2025-02-09,yes
The Thieves,the-thieves,Films,1,2,2,6,2022-01-02,2022-01-09,yes
The Three Musketeers,the-three-musketeers,Films,1,2,2,7,2022-07-03,2022-07-10,yes
The Tooth and the Nail,the-tooth-and-the-nail,Films,1,1,1,5,2024-09-29,2024-09-29,yes
The Trauma Code: Heroes on Call,the-trauma-code-heroes-on-call,TV,63,210,27,1,2025-01-26,2026-07-05,yes
The Trunk,the-trunk,TV,41,86,6,1,2024-12-01,2025-01-05,yes
The Tunnel,the-tunnel,Films,3,3,1,5,2025-09-07,2025-09-07,no
The Ugly,the-ugly,Films,1,7,7,1,2026-01-11,2026-02-22,yes
The Uncanny Counter,the-uncanny-counter,TV,21,146,17,1,2021-07-11,2023-09-24,yes
The Uninvited,the-uninvited,Films,4,6,3,6,2025-11-02,2026-08-09,no
The Unjust,the-unjust,Films,1,2,2,8,2023-04-23,2023-04-30,yes
The Vanished,the-vanished,Films,7,8,3,3,2021-08-15,2024-10-13,yes
The Villagers,the-villagers,Films,1,2,2,2,2024-05-26,2024-06-02,yes
The Wailing,the-wailing,Films,1,2,2,6,2022-10-23,2022-10-30,yes
The Way Back,the-way-back,Films,21,25,11,3,2021-09-26,2026-06-14,yes
The Wedding Day,the-wedding-day,Films,1,2,2,3,2025-09-07,2025-09-14,no
The Winning Try,the-winning-try,TV,5,16,6,3,2025-07-27,2025-08-31,yes
The Witch,the-witch,TV,1,6,6,2,2025-02-16,2025-03-23,yes
The Witch : Part2. The Other One,the-witch-part2-the-other-one,Films,1,3,3,3,2026-03-22,2026-04-05,no
The Witch: Part 1 - The Subversion,the-witch-part-1-the-subversion,Films,1,9,9,5,2021-12-05,2022-07-24,no
The WONDERfools,the-wonderfools,TV,64,216,7,1,2026-05-17,2026-06-28,yes
The World of Love,the-world-of-love,Films,1,2,2,2,2026-06-07,2026-06-14,no
The World of the Married,the-world-of-the-married,TV,3,8,8,2,2022-05-01,2023-09-03,yes
The Yellow Sea,the-yellow-sea,Films,1,4,4,5,2024-02-25,2024-03-17,no
Thirty-Nine,thirty-nine,TV,16,107,11,1,2022-02-20,2022-05-01,yes
Three,three,Films,1,1,1,5,2021-12-26,2021-12-26,no
Through the Darkness,through-the-darkness,TV,7,17,7,2,2022-10-09,2025-08-24,yes
Tidal Wave,tidal-wave,Films,1,1,1,8,2021-08-08,2021-08-08,yes
Tie A Yellow Ribbon,tie-a-yellow-ribbon,Films,1,1,1,10,2023-04-16,2023-04-16,no
Time,time,Films,2,5,5,1,2024-02-04,2026-07-19,yes
To Be Continued,to-be-continued,TV,1,1,1,8,2024-02-25,2024-02-25,no
To My Beloved Thief,to-my-beloved-thief,TV,2,10,8,3,2026-01-11,2026-03-01,yes
Together,together,Films,2,5,3,1,2023-04-16,2023-04-30,no
Tomb of the River,tomb-of-the-river,Films,1,4,4,2,2023-06-11,2023-07-02,yes
Tomorrow,tomorrow,TV,21,135,12,1,2022-04-10,2022-06-26,yes
Touch Your Heart,touch-your-heart,TV,2,7,7,2,2021-07-25,2021-12-05,no
Toxic,toxic,Films,1,2,2,6,2023-06-04,2023-06-11,no
Trade Your Love,trade-your-love,Films,1,2,2,6,2025-05-04,2025-05-11,no
Train to Busan,train-to-busan,Films,5,11,7,1,2021-12-05,2022-10-23,yes
Trigger,trigger,TV,45,110,8,1,2025-07-27,2025-09-14,yes
Troll Factory,troll-factory,Films,1,5,5,1,2024-07-14,2024-08-11,no
Trolley,trolley,TV,4,9,5,5,2023-01-15,2023-02-19,yes
Troubleshooter,troubleshooter,Films,1,2,2,6,2026-02-15,2026-02-22,no
True Beauty,true-beauty,TV,53,489,44,1,2023-02-12,2024-08-25,yes
True to Love,true-to-love,TV,1,2,2,3,2023-06-04,2023-06-11,no
Truth,truth,TV,1,3,3,1,2024-03-31,2024-04-14,no
Tunnel,tunnel,Films,5,14,6,2,2021-09-12,2023-05-07,yes
Twins,twins,Films,6,6,3,8,2022-06-19,2026-01-25,yes
Typhoon Family,typhoon-family,TV,19,58,9,1,2025-10-12,2025-12-07,yes
Umma,umma,Films,1,1,1,9,2022-08-28,2022-08-28,no
Uncle,uncle,TV,1,4,4,6,2023-10-29,2023-11-19,no
Under the Queen's Umbrella,under-the-queen-s-umbrella,TV,21,128,10,1,2022-10-23,2022-12-25,yes
Undercover Miss Hong,undercover-miss-hong,TV,14,69,10,2,2026-01-18,2026-03-22,yes
Unforgiven,unforgiven,Films,2,2,1,10,2025-06-01,2025-06-01,no
Unlock My Boss,unlock-my-boss,TV,11,42,5,2,2023-03-12,2023-04-09,yes
Unlocked,unlocked,Films,52,145,13,1,2022-06-12,2024-01-14,yes
Unstoppable,unstoppable,Films,5,10,6,2,2022-09-04,2024-07-14,yes
Untouchable,untouchable,Films,3,3,2,4,2022-03-20,2026-01-11,no
Uprising,uprising,Films,77,148,9,1,2024-10-13,2025-01-05,yes
Urban Myths,urban-myths,Films,2,4,4,3,2023-03-12,2024-12-29,no
Usury Academy,usury-academy,Films,1,3,3,1,2024-02-25,2024-03-10,no
V.I.P.,v-i-p,Films,1,3,3,3,2023-12-31,2024-01-14,no
Vagabond,vagabond,TV,1,8,8,1,2021-07-25,2021-10-03,no
Vanished,vanished,Films,2,5,3,1,2026-02-08,2026-02-22,no
Vertigo,vertigo,Films,1,1,1,10,2024-05-12,2024-05-12,no
Veteran,veteran,Films,1,3,3,3,2024-09-15,2024-09-29,yes
Villains,villains,Films,1,1,1,10,2022-08-07,2022-08-07,yes
Vincenzo,vincenzo,TV,17,213,76,3,2021-07-04,2023-06-11,yes
Virus,virus,Films,2,5,5,3,2025-08-03,2026-06-14,no
Voice,voice,TV,2,3,3,5,2021-12-26,2022-05-29,yes
Voice Of Silence,voice-of-silence,Films,2,3,3,1,2021-11-07,2023-10-08,no
Wall to Wall,wall-to-wall,Films,58,110,6,1,2025-07-20,2025-08-24,yes
Wanted,wanted,Films,16,20,8,4,2022-07-10,2025-07-27,yes
War of the Arrows,war-of-the-arrows,Films,1,2,2,7,2023-10-15,2023-10-22,no
Wasteland,wasteland,Films,1,2,2,8,2023-04-23,2023-04-30,no
Watcher,watcher,Films,37,50,22,2,2023-03-12,2025-03-09,yes
Waves,waves,Films,16,18,7,3,2021-12-19,2026-01-11,yes
Way Home,way-home,Films,6,12,5,1,2022-06-19,2025-06-15,yes
We Are All Trying Here,we-are-all-trying-here,TV,3,11,9,1,2026-04-19,2026-06-14,yes
Weak Hero,weak-hero,TV,72,393,13,1,2025-03-30,2026-03-08,yes
Wedding Impossible,wedding-impossible,TV,1,1,1,7,2026-04-12,2026-04-12,yes
Welcome to Samdal-ri,welcome-to-samdal-ri,TV,35,166,12,1,2023-12-03,2024-02-18,yes
Welcome to Wedding Hell,welcome-to-wedding-hell,TV,1,2,2,8,2022-06-12,2022-06-19,yes
What's Wrong with Secretary Kim,what-s-wrong-with-secretary-kim,TV,5,15,12,1,2021-08-01,2022-04-17,yes
When Life Gives You Tangerines,when-life-gives-you-tangerines,TV,43,344,21,1,2025-03-09,2025-08-03,yes
When My Love Blooms,when-my-love-blooms,TV,4,7,5,2,2022-06-26,2022-09-25,yes
When Spring Comes,when-spring-comes,TV,1,2,2,6,2024-01-21,2024-01-28,no
When the Phone Rings,when-the-phone-rings,TV,52,372,10,1,2024-11-24,2025-01-26,yes
When the Stars Gossip,when-the-stars-gossip,TV,19,39,7,2,2025-01-05,2025-02-16,yes
When the Weather Is Fine,when-the-weather-is-fine,TV,1,2,2,10,2023-02-05,2023-02-12,yes
Whenever Possible,whenever-possible,TV,1,2,2,7,2025-05-11,2026-08-16,no
Where Would You Like to Go?,where-would-you-like-to-go,Films,1,1,1,9,2023-10-22,2023-10-22,no
While You Were Sleeping,while-you-were-sleeping,TV,2,4,4,5,2021-10-03,2024-09-08,no
Whispering Corridors 6: The Humming,whispering-corridors-6-the-humming,Films,1,2,2,5,2021-09-12,2021-09-19,yes
White Night,white-night,Films,1,2,2,7,2023-04-30,2023-05-07,yes
Wild Card,wild-card,Films,13,21,7,2,2022-06-26,2026-02-22,yes
Wild Sing,wild-sing,Films,2,5,3,1,2026-08-02,2026-08-16,yes
Windmill,windmill,Films,1,2,2,6,2023-10-01,2023-10-08,no
Wish,wish,Films,1,3,3,3,2024-05-19,2026-05-10,no
Witch at Court,witch-at-court,TV,4,7,2,7,2021-09-12,2021-09-19,no
With or Without You,with-or-without-you,Films,2,2,1,6,2025-10-12,2025-10-12,no
Witness,witness,Films,2,2,2,10,2026-03-01,2026-03-08,no
Wolf,wolf,Films,1,1,1,9,2022-06-05,2022-06-05,no
Wonderful Nightmare,wonderful-nightmare,Films,1,4,4,1,2026-07-12,2026-08-02,no
Wonderland,wonderland,Films,9,22,8,2,2024-07-28,2024-12-29,yes
Wrath,wrath,TV,43,80,3,1,2026-08-02,2026-08-16,yes
Wrongfully Accused,wrongfully-accused,Films,2,2,1,5,2022-05-22,2022-05-22,no
X,x,Films,1,1,1,8,2023-12-03,2023-12-03,no
Yadang: The Snitch,yadang-the-snitch,Films,1,8,8,1,2025-09-14,2025-11-02,yes
Yaksha: Ruthless Operations,yaksha-ruthless-operations,Films,61,143,8,1,2022-04-10,2022-05-29,yes
Yesterday,yesterday,Films,12,14,8,4,2021-08-22,2025-08-03,yes
You and Everything Else,you-and-everything-else,TV,9,17,7,2,2025-09-14,2025-10-26,yes
You Are the Apple of My Eye,you-are-the-apple-of-my-eye,Films,2,2,2,7,2025-09-28,2025-11-30,no
Young Adult Matters,young-adult-matters,Films,1,2,2,4,2021-07-04,2021-07-11,no
Young Lady and Gentleman,young-lady-and-gentleman,TV,54,351,17,1,2022-08-28,2023-06-11,yes
Your Letter,your-letter,Films,1,2,2,2,2026-01-11,2026-01-18,no
Youth,youth,Films,12,30,7,1,2026-04-19,2026-05-31,yes
Zombie Detective,zombie-detective,TV,3,5,2,4,2021-08-22,2021-08-29,no
