# SeoulMarkets — Korean Listed Workforce Panel — FULL CATEGORY SAMPLE
# Category: Electronics and telecom equipment (320 of 320 listed companies in this KSIC division)
# Source: FSS DART annual reports (empSttus/exctvSttus) parsed by us; market cap from KRX (data.go.kr), 2026-08-05.
# Figures as filed. Empty cell = not disclosed (not zero). Definitions in method.md. Corrections in corrections.csv.
# Not investment advice. https://seoulmarkets.com/rankings
company_en,ticker,industry,avg_tenure_years,tenure_gap_M_minus_F_years,avg_annual_pay_krw,female_to_male_pay_pct,employees,female_share_pct,ceo_tenure_months,market_cap_per_employee_krw
"KOCOM CO., LTD",015710,Electronics and telecom equipment,10.37,0.63,53847682,76.8,151,16.6,,306493510
"S Connect Co., LTD",096630,Electronics and telecom equipment,11.42,2.58,87816206,61,63,15.9,21,502498223
"INNOX Advanced Materials Co., Ltd.",272290,Electronics and telecom equipment,5.35,1.95,77987620,76.3,727,10.6,8.6,570426667
"ABCO ELECTRONICS CO., LTD.",036010,Electronics and telecom equipment,8.56,2.58,45179413,81.7,363,35.5,12,229239027
"CAP Co.,Ltd.",198080,Electronics and telecom equipment,12.59,-1.02,51958408,73.6,196,41.8,14.8,258202473
"Global Display Co., Ltd.",155960,Electronics and telecom equipment,5.87,2,47221449,71.2,78,6.4,6.6,
"TOP RUN TOTAL SOLUTION CO.,LTD",336680,Electronics and telecom equipment,6.82,1.19,56085809,58.4,185,16.2,,526878051
INZI DISPLAY COMPANY LIMITED,037330,Electronics and telecom equipment,12.54,4.9,58731512,71.5,123,19.5,,283648399
"ALT  Co., Ltd.",459550,Electronics and telecom equipment,4.02,-0.03,106647059,69.4,51,29.4,8.3,901518575
IntermCorporation,017250,Electronics and telecom equipment,9.33,1.4,43645697,78.8,261,41,13.6,77086078
"Sena Technologies Co., Ltd.",061090,Electronics and telecom equipment,6.07,3,69115044,74.7,113,31,27,2269275177
"APACT Co., Ltd.",200470,Electronics and telecom equipment,6.64,1.75,46113636,84.1,440,28.6,6.5,529526163
"AHA Co.,Ltd",102950,Electronics and telecom equipment,3.48,0.11,35054054,86.1,148,18.9,16,158881420
"Hanwha Vision CO.,LTD",489790,Electronics and telecom equipment,11.72,4.5,122524528,74.4,1060,19.6,1,2333897274
PULOON Robotics Inc.,094940,Electronics and telecom equipment,8.82,3,47777323,50,130,39.2,25,414853382
"OE Solutions Co., Ltd.",138080,Electronics and telecom equipment,7.06,2.25,47577728,67.3,283,45.2,,1100002169
CS CORPORATION,065770,Electronics and telecom equipment,5.55,-0.37,64933333,45.1,45,15.6,9.3,388823700
"RFsemiTechnologies,Inc.",096610,Electronics and telecom equipment,8.8,-1.11,39571785,90.7,93,47.3,2.3,554308695
"DG-ITX Co., Ltd.",099520,Electronics and telecom equipment,8.25,-3.99,59514211,54.7,76,22.4,28,765024500
"WORLDEXINDUSTRY&TRADINGCO.,LTD",101160,Electronics and telecom equipment,5.08,1.38,57495810,84.3,399,23.8,26,1197978064
Solus Advanced Materials Co. Ltd.,336370,Electronics and telecom equipment,4.14,1.01,94621212,72.2,198,25.8,,2503709337
"HMNEX Co.,Ltd.",036170,Electronics and telecom equipment,11.28,6.3,61470333,67.1,36,8.3,4.2,4943342094
"SAMYOUNG ELECTRONICS CO.,LTD",005680,Electronics and telecom equipment,,,48557377,65.5,305,47.2,37.8,904262295
"Luxpia Co., Ltd.",092590,Electronics and telecom equipment,3.87,-0.41,34473684,75,76,55.3,26.3,68018270
Y&NEXT Inc.,090740,Electronics and telecom equipment,4,,60000000,,2,,3.9,
"SAMYOUNG S&C CO., LTD.",361670,Electronics and telecom equipment,7.77,-5.08,46334865,63.3,58,29.3,19.8,352274260
"ITM Semiconductor Co., Ltd",084850,Electronics and telecom equipment,6.66,2.1,56506369,72.8,314,25.8,21.8,619807560
Asia Pacific Satellite lnc.,211270,Electronics and telecom equipment,8.68,4.75,63710383,65.4,183,18.6,,666753221
"Pentastone Electronics, Inc.",332570,Electronics and telecom equipment,6.51,1.95,55478261,74,115,27,18.2,3818162541
FADU INC.,440110,Electronics and telecom equipment,3.58,-0.05,118240418,56.2,287,22,9.5,11611091622
